"xi_1","xi_2","K_xi_1","K_xi_2","pressuredrop","pressuredrop_ideal","relerror","runtime_FiltEST"
0.01,0.01,7.12252e-12,7.12252e-12,0.535199,0.536536,0.0024917,4.28
0.01,0.02,7.12252e-12,7.24807e-12,0.533365,0.535459,0.00390974,4.45
0.01,0.07,7.12252e-12,7.92513e-12,0.524476,0.530072,0.0105563,4.23
0.01,0.1,7.12252e-12,8.37524e-12,0.519362,0.526839,0.014193,4.34
0.01,0.2,7.12252e-12,1.01735e-11,0.503445,0.516066,0.0244555,4.43
0.01,0.25,7.12252e-12,1.12909e-11,0.496108,0.510679,0.0285321,4.09
0.01,0.3,7.12252e-12,1.26005e-11,0.489167,0.505292,0.0319119,4.33
0.01,0.4,7.12252e-12,1.60117e-11,0.476415,0.494518,0.0366074,4.24
0.01,0.45,7.12252e-12,1.82747e-11,0.470583,0.489131,0.0379205,4.19
0.01,0.5,7.12252e-12,2.10751e-11,0.465099,0.483744,0.0385435,4.66
0.01,0.55,7.12252e-12,2.46117e-11,0.459957,0.478357,0.0384656,4.56
0.01,0.6,7.12252e-12,2.91909e-11,0.45515,0.47297,0.0376776,4.63
0.01,0.7,7.12252e-12,4.38153e-11,0.446527,0.462197,0.0339024,4.56
0.01,0.75,7.12252e-12,5.63003e-11,0.44271,0.45681,0.0308655,4.13
0.01,0.8,7.12252e-12,7.60695e-11,0.439229,0.451423,0.0270118,4.47
0.01,0.9,7.12252e-12,1.87514e-10,0.433336,0.440649,0.0165959,4.54
0.01,0.92,7.12252e-12,2.48628e-10,0.432348,0.438494,0.0140166,4.44
0.01,0.96,7.12252e-12,5.85695e-10,0.430602,0.434185,0.00825147,4.52
0.01,0.98,7.12252e-12,1.34827e-09,0.429874,0.43203,0.00499016,4.62
0.01,0.99,7.12252e-12,3.05029e-09,0.429562,0.430953,0.00322662,4.67
0.02,0.01,7.24807e-12,7.12252e-12,0.533365,0.535459,0.00390974,4.3
0.02,0.02,7.24807e-12,7.24807e-12,0.531531,0.534381,0.0053335,4.42
0.02,0.07,7.24807e-12,7.92513e-12,0.522642,0.528994,0.0120081,4.42
0.02,0.1,7.24807e-12,8.37524e-12,0.517528,0.525762,0.0156612,4.23
0.02,0.2,7.24807e-12,1.01735e-11,0.501611,0.514988,0.0259759,4.25
0.02,0.25,7.24807e-12,1.12909e-11,0.494274,0.509601,0.0300771,4.12
0.02,0.3,7.24807e-12,1.26005e-11,0.487333,0.504214,0.0334807,4.22
0.02,0.4,7.24807e-12,1.60117e-11,0.474581,0.493441,0.0382207,4.32
0.02,0.45,7.24807e-12,1.82747e-11,0.468749,0.488054,0.0395545,4.21
0.02,0.5,7.24807e-12,2.10751e-11,0.463265,0.482667,0.0401971,4.7
0.02,0.55,7.24807e-12,2.46117e-11,0.458123,0.47728,0.0401377,4.61
0.02,0.6,7.24807e-12,2.91909e-11,0.453316,0.471893,0.039367,4.58
0.02,0.7,7.24807e-12,4.38153e-11,0.444693,0.461119,0.0356224,4.66
0.02,0.75,7.24807e-12,5.63003e-11,0.440876,0.455732,0.0325987,4.54
0.02,0.8,7.24807e-12,7.60695e-11,0.437395,0.450345,0.0287566,4.72
0.02,0.9,7.24807e-12,1.87514e-10,0.431502,0.439572,0.0183578,4.55
0.02,0.92,7.24807e-12,2.48628e-10,0.430514,0.437417,0.0157808,4.49
0.02,0.96,7.24807e-12,5.85695e-10,0.428768,0.433107,0.010019,4.68
0.02,0.98,7.24807e-12,1.34827e-09,0.42804,0.430953,0.00675833,4.64
0.02,0.99,7.24807e-12,3.05029e-09,0.427728,0.429875,0.00499479,4.69
0.07,0.01,7.92513e-12,7.12252e-12,0.524476,0.530072,0.0105563,4.4
0.07,0.02,7.92513e-12,7.24807e-12,0.522642,0.528994,0.0120081,3.82
0.07,0.07,7.92513e-12,7.92513e-12,0.513753,0.523607,0.01882,4.35
0.07,0.1,7.92513e-12,8.37524e-12,0.508638,0.520375,0.0225552,3.86
0.07,0.2,7.92513e-12,1.01735e-11,0.492721,0.509601,0.0331246,4.39
0.07,0.25,7.92513e-12,1.12909e-11,0.485385,0.504214,0.0373441,4.04
0.07,0.3,7.92513e-12,1.26005e-11,0.478443,0.498828,0.0408649,4.4
0.07,0.4,7.92513e-12,1.60117e-11,0.465692,0.488054,0.0458182,4.37
0.07,0.45,7.92513e-12,1.82747e-11,0.459859,0.482667,0.0472538,4.24
0.07,0.5,7.92513e-12,2.10751e-11,0.454376,0.47728,0.0479884,4.78
0.07,0.55,7.92513e-12,2.46117e-11,0.449234,0.471893,0.0480173,4.69
0.07,0.6,7.92513e-12,2.91909e-11,0.444427,0.466506,0.0473286,4.71
0.07,0.7,7.92513e-12,4.38153e-11,0.435804,0.455732,0.0437281,4.46
0.07,0.75,7.92513e-12,5.63003e-11,0.431987,0.450345,0.0407651,4.58
0.07,0.8,7.92513e-12,7.60695e-11,0.428505,0.444958,0.0369776,4.52
0.07,0.9,7.92513e-12,1.87514e-10,0.422613,0.434185,0.0266515,4.04
0.07,0.92,7.92513e-12,2.48628e-10,0.421624,0.43203,0.0240861,4.55
0.07,0.96,7.92513e-12,5.85695e-10,0.419879,0.42772,0.0183329,4.56
0.07,0.98,7.92513e-12,1.34827e-09,0.419151,0.425566,0.0150731,4.58
0.07,0.99,7.92513e-12,3.05029e-09,0.418838,0.424488,0.0133107,4.7
0.1,0.01,8.37524e-12,7.12252e-12,0.519362,0.526839,0.014193,4.32
0.1,0.02,8.37524e-12,7.24807e-12,0.517528,0.525762,0.0156612,4.33
0.1,0.07,8.37524e-12,7.92513e-12,0.508638,0.520375,0.0225552,4.16
0.1,0.1,8.37524e-12,8.37524e-12,0.503524,0.517143,0.0263351,4.24
0.1,0.2,8.37524e-12,1.01735e-11,0.487607,0.506369,0.0370524,4.4
0.1,0.25,8.37524e-12,1.12909e-11,0.480271,0.500982,0.0413414,4.43
