"Phi_0_","h","method","xi","pressuredrop","pressuredrop_ideal","relerror","runtime","FiltEST_runtime"
0.1,0.4,"K_JJ",0.0,9.59578,9.58,0.001647181628392428,0.58545,9.4688
0.1,0.4,"K_JJ",0.1,9.28116,9.3884,0.011422606620936568,0.30298,9.4297
0.1,0.4,"K_JJ",0.2,8.9981,9.196800000000001,0.021605340988169852,0.25171,9.1328
0.1,0.4,"K_JJ",0.3,8.74418,9.0052,0.02898547505885491,0.28271,9.6172
0.1,0.4,"K_JJ",0.4,8.51741,8.813600000000001,0.03360601797222486,0.25049,9.6328
0.1,0.4,"K_JJ",0.5,8.31617,8.622,0.035470888424959435,0.25464,9.9063
0.1,0.4,"K_JJ",0.6,8.13923,8.4304,0.03453810020876839,0.24292,10.68
0.1,0.4,"K_JJ",0.7,7.98587,8.238800000000001,0.03069985920279664,0.25,9.9688
0.1,0.4,"K_JJ",0.8,7.85608,8.0472,0.023749875733174237,0.26709,9.1563
0.1,0.4,"K_JJ",0.9,7.75128,7.855600000000001,0.013279698558989816,0.25806,9.75
0.1,0.4,"K_JJ",1.0,7.67952,7.664000000000001,0.0020250521920667447,0.56396,9.4219
0.1,0.4,"K_KC",0.0,9.59578,9.58,0.001647181628392428,0.21887,9.5469
0.1,0.4,"K_KC",0.1,9.18113,9.3884,0.022077244258872773,0.27881,9.2813
0.1,0.4,"K_KC",0.2,8.82777,9.196800000000001,0.04012591336116934,0.24585,8.7266
0.1,0.4,"K_KC",0.3,8.53066,9.0052,0.05269621996179997,0.24634,10.102
0.1,0.4,"K_KC",0.4,8.28517,8.813600000000001,0.059956204048289025,0.24976,10.219
0.1,0.4,"K_KC",0.5,8.08705,8.622,0.06204476919508238,0.24316,11.133
0.1,0.4,"K_KC",0.6,7.93237,8.4304,0.059075488707534735,0.23743,10.141
0.1,0.4,"K_KC",0.7,7.8175,8.238800000000001,0.05113608777977391,0.26245,9.1484
0.1,0.4,"K_KC",0.8,7.73911,8.0472,0.038285366338602245,0.2301,8.8906
0.1,0.4,"K_KC",0.9,7.69409,7.855600000000001,0.02055985538978572,0.22656,10.023
0.1,0.4,"K_KC",1.0,7.67952,7.664000000000001,0.0020250521920667447,0.21143,9.1016
0.1,0.4,"K_xi",0.0,9.59578,9.58,0.001647181628392428,0.21667,9.1328
0.1,0.4,"K_xi",0.1,9.40418,9.3884,0.0016807975799922733,0.22974,10.273
0.1,0.4,"K_xi",0.2,9.21258,9.196800000000001,0.0017158141962421124,0.23718,10.242
