Rotated Filter (dFilter = 1.6, K_0 = 0.0001) for fluid with viscosity = 0.0479, density = 866.2
====================
| Row  | Phi_0_ | phi | theta | h   | method     | pressuredrop | runtime | FiltEST_runtime |
|------|--------|-----|-------|-----|------------|--------------|---------|-----------------|
| 1    | 0.1    | 0   | 90    | 0.4 | "K_JJ"     | 7.67952      | 0.52393 | 9.7188          |
| 2    | 0.1    | 0   | 90    | 0.4 | "K_KC"     | 7.67952      | 0.21533 | 8.7969          |
| 3    | 0.1    | 0   | 90    | 0.4 | "K_xi"     | 7.67952      | 0.22766 | 9.4922          |
| 4    | 0.1    | 0   | 90    | 0.4 | "fill"     | 7.67952      | 0.2229  | 9.1875          |
| 5    | 0.1    | 0   | 90    | 0.4 | "remove"   | 7.67952      | 0.21265 | 9.0625          |
| 6    | 0.1    | 0   | 90    | 0.4 | "midpoint" | 7.67952      | 0.20764 | 9.7813          |
| 7    | 0.1    | 0   | 90    | 0.1 | "fill"     | 7.68588      | 11.734  | 160.38          |
| 8    | 0.1    | 0   | 90    | 0.1 | "remove"   | 7.68588      | 12.008  | 150.75          |
| 9    | 0.1    | 0   | 90    | 0.1 | "midpoint" | 7.68588      | 11.461  | 150.88          |
| 10   | 0.1    | 0   | 85    | 0.4 | "K_JJ"     | 7.17512      | 0.30444 | 9.0625          |
| 11   | 0.1    | 0   | 85    | 0.4 | "K_KC"     | 6.83495      | 0.23584 | 8.7813          |
| 12   | 0.1    | 0   | 85    | 0.4 | "K_xi"     | 7.65338      | 0.25537 | 8.6719          |
| 13   | 0.1    | 0   | 85    | 0.4 | "fill"     | 9.45938      | 0.23376 | 21.375          |
| 14   | 0.1    | 0   | 85    | 0.4 | "remove"   | 5.66143      | 0.22705 | 23.234          |
| 15   | 0.1    | 0   | 85    | 0.4 | "midpoint" | 7.44731      | 0.26196 | 24.797          |
| 16   | 0.1    | 0   | 85    | 0.1 | "fill"     | 8.11956      | 12.891  | 377.0           |
| 17   | 0.1    | 0   | 85    | 0.1 | "remove"   | 7.10633      | 12.883  | 377.25          |
| 18   | 0.1    | 0   | 85    | 0.1 | "midpoint" | 7.6192       | 13.031  | 382.5           |
| 19   | 0.1    | 0   | 80    | 0.4 | "K_JJ"     | 7.12552      | 0.2915  | 10.07           |
| 20   | 0.1    | 0   | 80    | 0.4 | "K_KC"     | 6.79555      | 0.26636 | 10.094          |
| 21   | 0.1    | 0   | 80    | 0.4 | "K_xi"     | 7.58335      | 0.28857 | 9.1328          |
| 22   | 0.1    | 0   | 80    | 0.4 | "fill"     | 9.55984      | 0.27759 | 24.375          |
| 23   | 0.1    | 0   | 80    | 0.4 | "remove"   | 5.24581      | 0.25342 | 24.734          |
| 24   | 0.1    | 0   | 80    | 0.4 | "midpoint" | 7.42385      | 0.28027 | 23.641          |
| 25   | 0.1    | 0   | 80    | 0.1 | "fill"     | 8.06016      | 12.992  | 393.0           |
| 26   | 0.1    | 0   | 80    | 0.1 | "remove"   | 7.01855      | 13.211  | 388.0           |
| 27   | 0.1    | 0   | 80    | 0.1 | "midpoint" | 7.56306      | 13.133  | 370.0           |
| 28   | 0.1    | 0   | 75    | 0.4 | "K_JJ"     | 7.0352       | 0.2771  | 22.609          |
| 29   | 0.1    | 0   | 75    | 0.4 | "K_KC"     | 6.71936      | 0.27051 | 23.25           |
| 30   | 0.1    | 0   | 75    | 0.4 | "K_xi"     | 7.47511      | 0.25073 | 22.156          |
| 31   | 0.1    | 0   | 75    | 0.4 | "fill"     | 9.40611      | 0.26953 | 23.375          |
| 32   | 0.1    | 0   | 75    | 0.4 | "remove"   | 5.05787      | 0.24414 | 24.234          |
| 33   | 0.1    | 0   | 75    | 0.4 | "midpoint" | 7.44122      | 0.26953 | 22.594          |
| 34   | 0.1    | 0   | 75    | 0.1 | "fill"     | 7.98195      | 12.078  | 370.25          |
| 35   | 0.1    | 0   | 75    | 0.1 | "remove"   | 6.86715      | 13.398  | 374.25          |
